Time,Close,MACD,ATR,RSI,USD_INR_Price,VIX,Yield_1_year_bond,Yield_10_year_bond,Yield_30_year_bond
2010-07-06,5289.05,-6.364348938900399,73.64435670568412,56.19288852350392,46.599998,20.9,5.709,7.616,8.358
2010-07-07,5241.1,-8.913886826091655,72.90547408384955,51.943743001510235,46.950001,22.11,5.709,7.587,8.345
2010-07-08,5296.85,-6.912887071029459,73.36936879214599,56.100203857732225,46.650002,21.15,5.823,7.601,8.356
2010-07-09,5352.45,-2.1584109756275325,72.57155673556413,59.831612040178534,46.52,20.22,5.814,7.654,8.362
2010-07-12,5383.0,2.4789402294599796,71.03787411159523,61.75516502552697,46.66,19.89,5.783,7.614,8.362
2010-07-13,5400.65,5.970884339886794,69.41731167505267,62.86168714437644,46.41,19.12,5.794,7.623,8.361
2010-07-14,5386.15,6.496509248235924,70.29821798397748,61.292754063438096,46.599998,20.07,5.699,7.626,8.361
2010-07-15,5378.75,5.573647176045569,68.03405955655047,60.46336349777339,46.450001,20.11,5.699,7.636,8.368
2010-07-16,5393.9,5.217664330831731,65.09948387393977,61.60873909911008,46.700001,19.7,5.732,7.637,8.366
2010-07-19,5386.45,3.781480297076321,63.84952074008696,60.67783148498324,46.09,20.71,5.743,7.62,8.346
2010-07-20,5368.0,1.0329211650439944,63.778126401509276,58.32732682745414,47.25,20.38,5.743,7.65,8.357
2010-07-21,5399.35,0.7816401796668657,62.158260229972925,61.08577784509386,47.07,20.0,5.818,7.682,8.368
2010-07-22,5441.95,2.8249445226411893,63.071955927831986,64.52235023002673,47.040001,18.89,5.819,7.678,8.365
2010-07-23,5449.1,3.9305623035318504,61.59181621870116,65.0797611514744,46.889999,19.23,5.875,7.681,8.363
2010-07-26,5418.6,1.9788044129987838,61.26740077450824,60.69870764848288,47.042999,19.97,5.865,7.681,8.362
2010-07-27,5430.6,0.9207976732989636,60.016157862043364,61.788619621453115,46.647999,19.22,5.953,7.713,8.396
2010-07-28,5397.55,-2.3986451374699413,60.12928944332601,57.09250596824831,46.689999,19.52,5.954,7.753,8.422
2010-07-29,5408.9,-4.122530318059262,58.28434019737416,58.26560140803039,46.459999,18.32,6.12,7.787,8.422
2010-07-30,5367.6,-8.10658589689065,58.696173040418884,52.627278066718524,46.360001,18.94,6.29,7.803,8.433
2010-08-02,5431.65,-6.556754285537465,60.75716068038897,59.218353287999484,46.088001,17.98,6.314,7.864,8.429
2010-08-03,5439.55,-5.188051780680375,58.76022063178977,59.95835459195776,46.127998,17.55,6.249,7.823,8.429
2010-08-04,5467.85,-2.690922176375942,58.384490586661926,62.57797879946002,46.127998,17.04,6.217,7.837,8.429
2010-08-05,5447.1,-2.7415432418708576,57.360598401900305,59.504075907310586,46.0,17.71,6.309,7.899,8.429
2010-08-06,5439.25,-3.5568950343096475,56.15984137319309,58.33660517178396,46.056,17.37,6.406,7.833,8.417
2010-08-09,5486.15,-1.3066991655499223,56.36628127510788,63.006552320800225,45.958,17.0,6.42,7.817,8.362
2010-08-10,5460.7,-1.8672661434817854,55.63297546974299,59.13318896948067,46.077999,17.32,6.422,7.84,8.39
2010-08-11,5420.6,-5.090851870598037,56.13062007904709,53.54742729042922,46.310001,18.11,6.367,7.824,8.378
2010-08-12,5416.45,-7.50873237248652,56.31057578768662,52.98956136715018,46.59,18.0,6.45,7.833,8.381
